id,zone,personId,type,coordX,coordY
1,21,1,"IND",-9515.0,-9912.0
2,1,3,"IND",-10392.0,9872.0
3,13,4,"IND",234.0,160.0
4,5,5,"IND",10362.0,9952.0
5,5,7,"IND",9987.0,9592.0
6,7,8,"IND",-4889.0,5376.0
7,21,9,"IND",-10264.0,-10336.0
8,13,12,"IND",-136.0,456.0
9,1,13,"IND",-9511.0,10096.0
10,13,15,"IND",-387.0,-120.0
11,25,16,"IND",10238.0,-9832.0
12,21,18,"IND",-9634.0,-9688.0
13,13,19,"IND",-8.0,-400.0
14,13,20,"IND",115.0,384.0
15,1,21,"IND",-10259.0,9672.0
16,8,23,"IND",-149.0,5432.0
17,12,24,"IND",-4524.0,-280.0
18,18,26,"IND",-400.0,-5496.0
19,13,30,"IND",225.0,144.0
20,1,32,"IND",-9647.0,9936.0
21,13,33,"IND",-22.0,224.0
22,5,35,"IND",10102.0,10360.0
23,5,37,"IND",9727.0,9648.0
24,13,39,"IND",-145.0,440.0
25,25,41,"IND",10481.0,-10272.0
26,13,44,"IND",-396.0,-136.0
27,13,51,"IND",230.0,152.0
28,18,54,"IND",357.0,-5056.0
29,5,55,"IND",9983.0,9584.0
30,13,56,"IND",106.0,368.0
31,12,67,"IND",-5268.0,-344.0
32,13,69,"IND",-123.0,-169.0
33,5,70,"IND",9503.0,10119.0
34,21,71,"IND",-10374.0,-10097.0
35,13,72,"IND",252.0,-457.0
36,13,74,"IND",379.0,335.0
37,5,75,"IND",10005.0,9623.0
38,5,78,"IND",10128.0,10407.0
39,1,79,"IND",-10246.0,10047.0
40,4,80,"IND",4882.0,9839.0
41,13,81,"IND",-493.0,127.0
42,13,84,"IND",-370.0,263.0
43,18,85,"IND",256.0,-5449.0
44,21,89,"IND",-9616.0,-9657.0
45,21,90,"IND",-9991.0,-10369.0
46,21,91,"IND",-9867.0,-10233.0
47,21,92,"IND",-10242.0,-9945.0
48,13,97,"IND",-132.0,-184.0
49,13,98,"IND",494.0,103.0
50,13,99,"IND",-383.0,-112.0
51,21,100,"IND",-9757.0,-9824.0
52,12,102,"IND",-4629.0,319.0
53,25,103,"IND",9996.0,-10393.0
54,25,113,"IND",10119.0,-9609.0
55,1,114,"IND",-10255.0,9679.0
56,13,116,"IND",-127.0,-177.0
57,13,119,"IND",498.0,111.0
58,13,121,"IND",-378.0,-105.0
59,13,122,"IND",247.0,-465.0
60,18,125,"IND",375.0,-4673.0
61,18,126,"IND",0.0,-5385.0
62,25,127,"IND",10124.0,-9601.0
63,13,129,"IND",-251.0,39.0
64,12,130,"IND",-5105.0,215.0
65,12,131,"IND",-5480.0,-497.0
66,13,132,"IND",-356.0,287.0
67,13,134,"IND",269.0,-425.0
68,13,135,"IND",397.0,-282.0
69,18,136,"IND",22.0,-4994.0
70,1,137,"IND",-9854.0,9790.0
71,13,140,"IND",-229.0,78.0
72,21,141,"IND",-10101.0,-9778.0
73,13,143,"IND",-475.0,-490.0
74,21,144,"IND",-10352.0,-9706.0
75,18,145,"IND",274.0,-5418.0
76,18,148,"IND",401.0,-5274.0
77,23,150,"IND",27.0,-9986.0
78,1,151,"IND",-9850.0,9798.0
79,13,152,"IND",-224.0,438.0
80,13,158,"IND",-114.0,-153.0
81,13,159,"IND",-489.0,487.0
82,1,163,"IND",-10365.0,10271.0
83,12,166,"IND",-4740.0,-441.0
84,13,167,"IND",388.0,351.0
85,21,168,"IND",-9986.0,-10009.0
86,13,169,"IND",137.0,-225.0
87,13,171,"IND",-237.0,63.0
88,12,172,"IND",-5110.0,-145.0
89,1,175,"IND",-10484.0,10495.0
90,13,178,"IND",-361.0,279.0
91,5,180,"IND",10265.0,9567.0
92,5,184,"IND",10393.0,10359.0
93,9,185,"IND",5018.0,4999.0
94,2,186,"IND",-4859.0,9783.0
95,12,191,"IND",-5233.0,71.0
96,5,194,"IND",9912.0,10246.0
97,18,196,"IND",-462.0,-5466.0
98,13,197,"IND",-339.0,-330.0
99,25,199,"IND",10287.0,-10042.0
100,18,203,"IND",415.0,-5250.0
